,level,silhouette_level,amount_threshold,silhouette_amount,density_threshold,silhouette_density
0,9.0,0.4552872141677654,0,0.2767544113588558,0.0,0.3684608197387407
1,10.0,0.03997693374118521,1,0.3955922821591349,0.1,0.3684608197387407
2,11.0,0.48289437995381745,2,0.3955922821591349,0.2,0.3684608197387407
3,12.0,0.7530220113339056,3,0.28816770065512076,0.30000000000000004,0.3684608197387407
4,13.0,0.7791480940011202,4,0.3684608197387407,0.4,0.3684608197387407
5,,,5,0.3684608197387407,0.5,0.3684608197387407
6,,,6,0.3684608197387407,0.6000000000000001,0.3684608197387407
7,,,7,0.3684608197387407,0.7000000000000001,0.3684608197387407
8,,,8,0.3684608197387407,0.8,0.3684608197387407
9,,,9,0.3684608197387407,0.9,0.3684608197387407
10,,,10,0.3684608197387407,,
11,,,11,0.3684608197387407,,
12,,,12,0.3684608197387407,,
13,,,13,0.3684608197387407,,
14,,,14,0.3684608197387407,,
15,,,15,0.3684608197387407,,
16,,,16,0.3684608197387407,,
17,,,17,0.3684608197387407,,
18,,,18,0.3684608197387407,,
19,,,19,0.3684608197387407,,
20,,,20,0.3684608197387407,,
21,,,21,0.3684608197387407,,
22,,,22,0.3684608197387407,,
23,,,23,0.3684608197387407,,
24,,,24,0.3684608197387407,,
25,,,25,0.3684608197387407,,
26,,,26,0.3684608197387407,,
27,,,27,0.3684608197387407,,
28,,,28,0.3684608197387407,,
29,,,29,0.3684608197387407,,
30,,,30,0.3684608197387407,,
31,,,31,0.3684608197387407,,
32,,,32,0.3684608197387407,,
33,,,33,0.3684608197387407,,
34,,,34,0.3684608197387407,,
35,,,35,0.3684608197387407,,
36,,,36,0.3684608197387407,,
37,,,37,0.3684608197387407,,
38,,,38,0.3684608197387407,,
39,,,39,0.3684608197387407,,
40,,,40,0.3684608197387407,,
41,,,41,0.3684608197387407,,
42,,,42,0.3684608197387407,,
43,,,43,0.3684608197387407,,
44,,,44,0.3684608197387407,,
45,,,45,0.3684608197387407,,
46,,,46,0.3684608197387407,,
47,,,47,0.3684608197387407,,
48,,,48,0.3684608197387407,,
49,,,49,0.3684608197387407,,
